transaction_id,card_id,date,amount
1,1,2026-01-05,120.50
2,2,2026-01-07,850.00
3,3,2026-01-10,45.20
4,1,2026-01-12,230.00
5,4,2026-01-15,1200.00
6,5,2026-01-18,310.40
7,2,2026-01-20,125.50
8,3,2026-01-21,78.90
9,1,2026-02-02,450.00
10,4,2026-02-05,210.00
11,5,2026-02-08,670.00
12,2,2026-02-10,330.20
13,3,2026-02-13,90.00
14,1,2026-02-18,75.50
15,4,2026-02-20,550.00
16,5,2026-02-23,115.20
17,2,2026-03-01,920.00
18,3,2026-03-04,180.00
19,1,2026-03-07,300.00
20,4,2026-03-10,740.00
21,5,2026-03-15,250.00
22,2,2026-03-18,110.00
23,3,2026-03-20,65.00
24,1,2026-03-25,510.00
25,4,2026-03-27,130.00
26,5,2026-04-02,810.00
27,2,2026-04-05,230.00
28,3,2026-04-07,44.90
29,1,2026-04-10,620.00
30,4,2026-04-15,990.00
31,5,2026-04-18,170.00
32,2,2026-04-20,410.00
33,3,2026-04-22,95.00
34,1,2026-04-25,210.00
35,4,2026-04-27,330.00
36,5,2026-05-01,450.00
37,2,2026-05-04,780.00
38,3,2026-05-08,120.00
39,1,2026-05-12,330.00
40,4,2026-05-15,650.00
41,5,2026-05-18,215.00
42,2,2026-05-20,190.00
43,3,2026-05-22,70.00
44,1,2026-05-25,540.00
45,4,2026-05-28,420.00
46,5,2026-06-02,300.00
47,2,2026-06-05,610.00
48,3,2026-06-08,85.00
49,1,2026-06-10,270.00
50,4,2026-06-15,880.00
51,5,2026-06-18,145.00
52,2,2026-06-20,350.00
53,3,2026-06-22,110.00
54,1,2026-06-25,460.00
55,4,2026-06-28,275.00
56,5,2026-07-02,390.00
57,2,2026-07-05,520.00
58,3,2026-07-08,99.00
59,1,2026-07-10,305.00
60,4,2026-07-15,760.00
61,5,2026-07-18,210.00
62,2,2026-07-20,640.00
63,3,2026-07-22,55.00
64,1,2026-07-25,410.00
65,4,2026-07-28,350.00
66,5,2026-08-02,275.00
67,2,2026-08-05,490.00
68,3,2026-08-08,125.00
69,1,2026-08-10,580.00
70,4,2026-08-15,720.00
71,5,2026-08-18,190.00
72,2,2026-08-20,330.00
73,3,2026-08-22,82.00
74,1,2026-08-25,250.00
75,4,2026-08-28,615.00
76,5,2026-09-02,440.00
77,2,2026-09-05,710.00
78,3,2026-09-08,105.00
79,1,2026-09-10,390.00
80,4,2026-09-15,950.00
81,5,2026-09-18,225.00
82,2,2026-09-20,280.00
83,3,2026-09-21,73.00
84,1,2026-09-21,615.00
85,4,2026-09-21,340.00
